ESRS,DR,Paragraph,Name,Data Type,Filled Data,SFDR/BENCH,V [Voluntary]
ESRS 2,BP-1,3,Disclosure of general basis for preparation of sustainability statement,narrative,The sustainability statement has been prepared in accordance with the European Sustainability Reporting Standards (ESRS) as adopted under the Corporate Sustainability Reporting Directive (CSRD). It is based on information derived from internal policies processes and data collection systems and reflects the undertaking’s material sustainability impacts risks and opportunities identified through a double materiality assessment. Estimates and assumptions have been applied where necessary using best available data and methodologies consistent with ESRS requirements,,
ESRS 2,BP-1,5 a,Basis for preparation of sustainability statement,semi-narrative,The sustainability statement has been prepared on a consolidated basis and in line with the same reporting period and boundaries as the financial statements. It incorporates qualitative and quantitative information relevant to sustainability matters prepared using recognized internal controls governance processes and data management practices and aligned with applicable ESRS measurement and disclosure principles.,,
ESRS 2,BP-1,5 b i,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,The scope of consolidation of the consolidated sustainability statement is the same as that applied for the consolidated financial statements including all entities over which the undertaking exercises control in accordance with applicable financial reporting standards.,,
ESRS 2,BP-1,5 b ii,Indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting,narrative,Certain subsidiary undertakings included in the scope of consolidation are exempted from preparing individual or consolidated sustainability statements where permitted by applicable legislation as their sustainability information is fully included within the consolidated sustainability statement of the undertaking.,,
ESRS 2,BP-1,5 c,Disclosure of extent to which sustainability statement covers upstream and downstream value chain,narrative,The sustainability statement covers the undertaking’s own operations as well as material impacts risks and opportunities related to its upstream and downstream value chain to the extent relevant and proportionate. Where full information is not available the undertaking has applied reasonable estimates and explanatory assumptions in line with ESRS requirements.,,
ESRS 2,BP-1,5 d,Option to omit specific piece of information corresponding to intellectual property know-how or results of innovation has been used,semi-narrative,The undertaking has not exercised the option to omit specific pieces of information relating to intellectual property know-how or the results of innovation that would materially affect the understanding of its sustainability impacts risks or opportunities.,,
ESRS 2,BP-1,5 e,Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used,semi-narrative,The undertaking has not made use of the option allowed by Member State legislation to omit disclosure of information on impending developments or matters in the course of negotiation that would materially influence users’ understanding of the sustainability statement.,,
ESRS 2,BP-2,6,Disclosures in relation to specific circumstances,narrative,The undertaking provides disclosures in relation to specific circumstances in accordance with ESRS requirements where deviations estimations or measurement uncertainties are relevant to ensure a fair and balanced understanding of sustainability-related information.,,
ESRS 2,BP-2,9,Medium- or long-term time horizons defined by ESRS 1 have been deviated from,semi-narrative,The undertaking has not deviated from the medium- or long-term time horizons as defined by ESRS 1.,,
ESRS 2,BP-2,9 a,Disclosure of definitions of medium- or long-term time horizons,narrative,The undertaking applies the ESRS 1 definitions of time horizons where short-term refers to up to 1 year medium-term to 1–5 years and long-term to more than 5 years.,,
ESRS 2,BP-2,9 b,Disclosure of reasons for applying different definitions of time horizons,narrative,Not applicable as no alternative definitions of time horizons have been applied.,,
ESRS 2,BP-2,10,Metrics include value chain data estimated using indirect sources,semi-narrative,Some metrics include value chain data estimated using indirect sources where direct data is not available.,,
ESRS 2,BP-2,10 a,Disclosure of metrics that include value chain data estimated using indirect sources,narrative,Metrics incorporating value chain data estimated using indirect sources primarily relate to areas where primary data collection from upstream or downstream partners is not feasible.,,
ESRS 2,BP-2,10 b,Description of basis for preparation of metrics that include value chain data estimated using indirect sources,narrative,These metrics are prepared using industry averages proxy data and recognized estimation methodologies selected to reasonably reflect the undertaking’s value chain impacts.,,
ESRS 2,BP-2,10 c,Description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources,narrative,The resulting level of accuracy is considered reasonable for decision-making purposes while acknowledging inherent limitations associated with indirect estimation methods.,,
ESRS 2,BP-2,10 d,Description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources,narrative,The undertaking plans to improve accuracy over time by enhancing supplier engagement expanding data collection processes and increasing the use of primary data sources.,,
ESRS 2,BP-2,11 a,Disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty,narrative,Certain quantitative metrics and monetary amounts disclosed are subject to a high level of measurement uncertainty due to estimation techniques and data availability constraints.,,
ESRS 2,BP-2,11 b i,Disclosure of sources of measurement uncertainty,narrative,Sources of measurement uncertainty include reliance on estimates assumptions third-party data and limitations in the availability and quality of value chain information.,,
ESRS 2,BP-2,11 b ii  12,Disclosure of assumptions approximations and judgements made in measurement,narrative,The preparation of sustainability metrics involves assumptions approximations and professional judgements that are applied consistently and disclosed to ensure transparency and comparability.,,
ESRS 2,BP-2,13 a,Explanation of changes in preparation and presentation of sustainability information and reasons for them,narrative,There have been no significant changes in the preparation and presentation of sustainability information compared to the preceding reporting period. Where minor refinements were made these were to improve clarity consistency and alignment with ESRS requirements.,,
